id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
1.0,Bitcoin  BTC,R$ 620.119,0.1%,1.7%,3.7%,15.9%,R$ 169.769.855.589,R$ 12.324.336.954.251,R$ 12.324.336.954.251,10.0
2.0,Ethereum  ETH,"R$ 14.414,15",0.0%,0.9%,1.0%,40.8%,R$ 77.012.699.531,R$ 1.739.965.947.093,R$ 1.739.965.947.093,10.0
3.0,Tether  USDT,"R$ 5,67",0.0%,0.0%,0.0%,0.0%,R$ 274.758.917.235,R$ 866.546.013.786,R$ 866.546.013.786,10.0
4.0,XRP  XRP,"R$ 13,10",0.2%,0.3%,2.5%,4.8%,R$ 10.190.418.624,R$ 768.457.911.442,R$ 1.309.257.838.099,59.0
5.0,BNB  BNB,"R$ 3.819,10",0.1%,1.2%,4.1%,10.8%,R$ 4.006.109.221,R$ 557.390.416.278,R$ 557.390.416.278,10.0
6.0,Solana  SOL,"R$ 990,69",0.2%,1.8%,5.4%,17.2%,R$ 17.536.653.233,R$ 515.547.372.587,R$ 596.064.174.606,86.0
7.0,USDC  USDC,"R$ 5,67",0.0%,0.0%,0.0%,0.0%,R$ 50.484.698.536,R$ 349.167.591.632,R$ 349.169.275.703,10.0
8.0,Dogecoin  DOGE,"R$ 1,27",0.1%,2.1%,0.0%,23.4%,R$ 7.011.050.024,R$ 190.046.658.928,R$ 190.097.380.750,10.0
9.0,Cardano  ADA,"R$ 4,29",0.1%,1.1%,2.2%,6.8%,R$ 3.617.280.111,R$ 154.834.714.269,R$ 193.156.258.033,8.0
10.0,TRON  TRX,"R$ 1,54",0.0%,0.2%,2.6%,7.8%,R$ 2.797.086.680,R$ 146.335.721.500,R$ 146.335.788.008,10.0
11.0,Lido Staked Ether  STETH,"R$ 14.408,22",0.1%,0.9%,1.1%,40.8%,R$ 65.179.724,R$ 129.656.618.030,R$ 129.656.618.030,10.0
12.0,Wrapped Bitcoin  WBTC,R$ 619.075,0.0%,1.7%,3.7%,15.8%,R$ 1.238.975.936,R$ 79.686.799.822,R$ 79.686.799.822,10.0
13.0,Hyperliquid  HYPE,"R$ 210,05",2.0%,3.8%,41.8%,106.7%,R$ 2.499.158.843,R$ 70.144.666.184,R$ 210.057.121.157,33.0
14.0,Sui  SUI,"R$ 19,71",0.0%,1.4%,8.5%,0.0%,R$ 5.173.693.762,R$ 65.806.025.523,R$ 197.122.765.893,33.0
15.0,Wrapped stETH  WSTETH,"R$ 17.295,00",0.5%,0.7%,0.6%,41.1%,R$ 42.654.243,R$ 60.524.651.372,R$ 60.524.651.372,10.0
16.0,Chainlink  LINK,"R$ 88,15",0.4%,3.4%,1.1%,4.5%,R$ 1.965.522.122,R$ 57.924.356.462,R$ 88.151.512.809,66.0
17.0,Avalanche  AVAX,"R$ 131,18",0.2%,3.5%,3.6%,5.1%,R$ 2.156.061.771,R$ 55.255.101.058,R$ 59.847.760.342,92.0
18.0,Stellar  XLM,"R$ 1,61",0.1%,0.8%,0.4%,1.9%,R$ 838.818.781,R$ 50.249.478.741,R$ 80.748.755.369,62.0
19.0,Shiba Inu  SHIB,"R$ 0,00008119",0.3%,1.6%,1.5%,0.9%,R$ 1.064.766.520,R$ 47.842.664.966,R$ 47.863.326.457,10.0
20.0,LEO Token  LEO,"R$ 50,98",5.2%,0.9%,4.2%,1.0%,R$ 18.851.124,R$ 47.066.893.138,R$ 50.220.655.398,94.0
21.0,Bitcoin Cash  BCH,"R$ 2.359,17",0.1%,0.7%,6.5%,15.8%,R$ 943.415.752,R$ 46.896.976.728,R$ 46.896.976.728,10.0
22.0,Hedera  HBAR,"R$ 1,05",0.1%,0.7%,3.2%,3.0%,R$ 676.334.241,R$ 44.526.768.487,R$ 52.707.174.464,84.0
23.0,Monero  XMR,"R$ 2.309,99",0.5%,0.6%,18.9%,77.5%,R$ 582.904.665,R$ 42.594.388.610,R$ 42.594.388.610,10.0
24.0,Toncoin  TON,"R$ 16,80",0.6%,0.5%,1.8%,11.1%,R$ 865.667.825,R$ 41.843.264.246,R$ 86.173.324.114,49.0
25.0,Litecoin  LTC,"R$ 538,29",0.3%,0.5%,3.6%,8.7%,R$ 1.762.102.806,R$ 40.856.774.549,R$ 40.857.171.565,10.0
